Simulacion,cantidad_individuos,p_mutacion,cantidad_maxima_generaciones,tiempo_maximo,p_optimizacion_deterministica,probabilidad_saltar_periodo,peso_seleccion_paso,peso_seleccion_demanda,peso_mover_periodo,peso_cambiar_task,intentos_mutacion,probabilidad_reducir,probabilidad_completo,Generacion 0,Generacion 1,Generacion 2,Generacion 3,Generacion 4,Generacion 5,Generacion 6,Generacion 7,Generacion 8,Generacion 9,Generacion 10,Valor_Incumbente,Hubo_Mejora,Porc_Mejora_Aptitud
502,10,0.01,10,3600,1.0,0.05,1,4,1,4,2,0.66,0.66,959.0971973168,960.229824844,951.173933249,964.4624936568,967.5787802248,966.6937389638,970.4942109322001,960.9951074156,962.0298004966,964.8507295568,968.7782609384,951.309813334,False,0.010093933804294278
503,10,0.01,10,3600,0.0,0.05,1,4,1,4,10,0.66,0.66,966.7952496493999,964.9467690469999,969.462979386,966.1910183878001,971.2250475733999,980.8978380561999,987.8519333382001,988.8648517382001,980.8885244679999,989.7417166272,1001.8605727554001,970.78761285,False,0.0362696477032922
504,10,0.01,10,3600,1.0,0.05,1,4,1,4,10,0.66,0.66,963.7549978102,965.3395172936,971.0919662665999,980.2155956724,980.5920175796,1007.3849986655999,1001.7364167024,1002.5742595108001,1001.7710328442001,996.5314246186001,992.283284434,968.989520908,False,0.02960118151254278
505,10,0.01,10,3600,0.0,0.05,2,1,1,4,1,0.33,0.33,987.2305338837999,983.9907482142,977.3283183789999,972.319547214,1001.4083584780001,1004.2402631752,993.48152856,998.9735488292001,1009.9893097672,1010.6569975176001,1001.9774821302001,973.874888738,False,0.014937694631855791
506,10,0.01,10,3600,1.0,0.05,2,1,1,4,1,0.33,0.33,965.9787382226001,966.6451817569999,974.8430354698,981.1518877475999,981.0757197062,983.1404056202,991.8241705431999,995.0359328044,996.5867766012001,982.5259076472,979.2391486029999,953.691398656,False,0.013727435041478157
507,10,0.01,10,3600,0.0,0.05,2,1,1,4,2,0.33,0.33,987.2305338837999,990.6188198473999,982.0962774761999,991.9297411464,992.1217444934,985.5389458028,984.2067676467999,983.181862522,985.5211510885999,981.5576681532,985.2900142415999,964.81094363,True,-0.001965619554498511
508,10,0.01,10,3600,1.0,0.05,2,1,1,4,2,0.33,0.33,973.1783104108001,968.9155410793999,971.8044837637999,980.0319337968,990.9001614709999,1001.2256561954,994.4275820252,993.9989014114001,999.3883776322,1010.467476393,1002.1862245098,974.8701453,False,0.029807398899750454
509,10,0.01,10,3600,0.0,0.05,2,1,1,4,10,0.33,0.33,987.2305338837999,978.140008987,989.195516109,992.2304937074001,990.6361282058,994.428952962,988.1859998317999,985.6556638788,982.4374306359999,982.9758311019999,981.9484644408,969.171147626,True,-0.0053503910806122525
510,10,0.01,10,3600,1.0,0.05,2,1,1,4,10,0.33,0.33,965.9787382226001,971.5113436752001,971.3970423848001,978.2376900441999,986.1654071904001,1004.0916049351999,998.1075300975999,1007.9800794016,999.2786713854,988.6608220188,979.1017435524,959.488457666,False,0.01358519065745296
511,10,0.01,10,3600,0.0,0.05,2,1,1,4,1,0.33,0.66,963.3482937276,965.128293864,965.3672814852,979.1152401294,982.6538751016,981.9494928284,992.1746908368001,988.5979990973999,989.427360938,982.1146534843999,979.9903231154,961.31203539,False,0.017275194751635442
512,10,0.01,10,3600,1.0,0.05,2,1,1,4,1,0.33,0.66,965.9787382226001,966.6451817569999,974.8430354698,981.1518877475999,981.0757197062,983.1404056202,991.8241705431999,995.0359328044,996.5867766012001,982.5259076472,979.2391486029999,953.691398656,False,0.013727435041478157
